country;gold;silver;bronze;total
ROC;6;12;14;32
Австралия;1;2;1;4
Австрия;7;7;4;18
Беларусь;0;2;0;2
Бельгия;1;0;1;2
Великобритания;1;1;0;2
Венгрия;1;0;2;3
Германия;12;10;5;27
Испания;0;1;0;1
Италия;2;7;8;17
Канада;4;8;14;26
Китай;9;4;2;15
Латвия;0;0;1;1
Нидерланды;8;5;4;17
Новая Зеландия;2;1;0;3
Норвегия;16;8;13;37
Польша;0;0;1;1
США;8;10;7;25
Словакия;1;0;1;2
Словения;2;3;2;7
Украина;0;1;0;1
Финляндия;2;2;4;8
Франция;5;7;2;14
Чехия;1;0;1;2
Швейцария;7;2;5;14
Швеция;8;5;5;18
Эстония;0;0;1;1
Южная Корея;2;5;2;9
Япония;3;6;9;18
